Rank,Name,User_rating,Year,Duration,MPA_rating
1,The Shawshank Redemption,9.3,1994,2h 22m,A
2,The Godfather,9.2,1972,2h 55m,A
3,The Dark Knight,9.0,2008,2h 32m,UA
4,The Godfather: Part II,9.0,1974,3h 22m,A
5,12 Angry Men,9.0,1957,1h 36m,U
6,The Lord of the Rings: The Return of the King,9.0,2003,3h 21m,U
7,Schindler's List,9.0,1993,3h 15m,A
8,Pulp Fiction,8.9,1994,2h 34m,A
9,The Lord of the Rings: The Fellowship of the Ring,8.9,2001,2h 58m,U
10,"Il Buono, Il Brutto, Il Cattivo",8.8,1966,2h 41m,A
11,Forrest Gump,8.8,1994,2h 22m,UA
12,The Lord of the Rings: The Two Towers,8.8,2002,2h 59m,UA
13,Fight Club,8.8,1999,2h 19m,A
14,Inception,8.8,2010,2h 28m,UA
15,Star Wars: Episode V - The Empire Strikes Back,8.7,1980,2h 4m,UA
16,The Matrix,8.7,1999,2h 16m,A
17,GoodFellas,8.7,1990,2h 25m,A
18,One Flew Over the Cuckoo's Nest,8.7,1975,2h 13m,A
19,Interstellar,8.7,2014,2h 49m,UA
20,Se7en,8.6,1995,2h 7m,A
21,It's a Wonderful Life,8.6,1946,2h 10m,PG
22,Shichinin No Samurai,8.6,1954,3h 27m,U
23,The Silence of the Lambs,8.6,1991,1h 58m,A
24,Saving Private Ryan,8.6,1998,2h 49m,A
25,City of God,8.6,2002,2h 10m,A
